Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total Passengers,Ratio Uninjured
1.0,21603.0,13799.0,17570.0,71719.0,124691.0,0.5751738297070358
2.0,10048.0,3376.0,4414.0,183078.0,200916.0,0.9112166278444723
3.0,861.0,316.0,1140.0,46134.0,48451.0,0.9521784896080576
4.0,1651.0,231.0,502.0,37591.0,39975.0,0.9403627267041901
6.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.0,0.0,0.0,0.0,0.0,
