Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Waldron,1.0,1.0,0.0,0.0,0.0,1990,1.0,0.0
Walentine,1.0,0.0,0.0,0.0,2.0,1999,2.0,1.0
Walker,5.0,2.0,2.0,0.0,2.0,10024,6.0,0.3333333333333333
Walker Edgar E,1.0,1.0,0.0,1.0,0.0,2017,2.0,0.0
Walker J C,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Walker Kenneth,1.0,0.0,0.0,2.0,0.0,2010,2.0,0.0
Walker Louie H,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Walker Phil,0.0,0.0,2.0,0.0,0.0,2013,2.0,0.0
Wallace,3.0,1.0,1.0,0.0,1.0,5999,3.0,0.3333333333333333
Waller Charles R,1.0,0.0,0.0,0.0,2.0,2012,2.0,1.0
Walling,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Walls Craig C,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Walsh Philip J,1.0,1.0,0.0,0.0,0.0,2010,1.0,0.0
Walston,1.0,0.0,0.0,1.0,0.0,1983,1.0,0.0
Walter C Smythe,1.0,0.0,1.0,0.0,0.0,2018,1.0,0.0
Walter Chandler,1.0,0.0,0.0,2.0,0.0,1991,2.0,0.0
Walter D. Burleson,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Walter D. Courtney,1.0,1.0,0.0,1.0,0.0,1993,2.0,0.0
Walter Hudson,1.0,0.0,0.0,0.0,2.0,1990,2.0,1.0
Walter J Collie,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Walter R. Penney,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
Walter S Johnson Iii,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
Walter Tachiki,1.0,0.0,0.0,1.0,0.0,2022,1.0,0.0
Walter W. Bell,1.0,1.0,0.0,0.0,0.0,1995,1.0,0.0
Waltermire,1.0,0.0,1.0,0.0,1.0,2008,2.0,0.5
