Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
107.5 Flying Corporation,1.0,1.0,0.0,0.0,0.0,2006,1.0,0.0
177Mf Llc,1.0,0.0,2.0,0.0,0.0,2014,2.0,0.0
1977 Colfer-Chan,0.0,0.0,0.0,1.0,0.0,2001,1.0,0.0
1St Ftr Gp,1.0,1.0,0.0,0.0,0.0,1994,1.0,0.0
2000 Mccoy,1.0,1.0,0.0,0.0,0.0,2000,1.0,0.0
2001 Mcgirl,1.0,0.0,1.0,0.0,0.0,2001,1.0,0.0
2003 Nash,1.0,0.0,0.0,1.0,0.0,2004,1.0,0.0
2007 Savage Air Llc,1.0,0.0,0.0,0.0,4.0,2008,4.0,1.0
2021Fx3 Llc,2.0,0.0,0.0,0.0,4.0,4044,4.0,1.0
3Xtrim,1.0,1.0,0.0,1.0,0.0,2015,2.0,0.0
5 Rivers Llc,1.0,0.0,0.0,1.0,1.0,2022,2.0,0.5
67 Flying Dutchman,1.0,0.0,0.0,0.0,1.0,1990,1.0,1.0
737,0.0,0.0,0.0,0.0,329.0,4044,329.0,1.0
777,0.0,0.0,0.0,0.0,0.0,2021,0.0,
781569 Inc,1.0,0.0,3.0,0.0,0.0,2013,3.0,0.0
85 Manista,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
A Pair Of Jacks,1.0,0.0,0.0,1.0,0.0,2002,1.0,0.0
A. H. Gettings,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
A. Le Francois,1.0,0.0,0.0,1.0,0.0,1994,1.0,0.0
Aaa Aircraft Leasing,1.0,2.0,0.0,0.0,0.0,2002,2.0,0.0
Aaa Aircraft Llc,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
Aardema Robert John,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Ab Sportine Aviacija,0.0,1.0,0.0,0.0,0.0,1999,1.0,0.0
Abbett Gerry,1.0,0.0,2.0,0.0,0.0,2021,2.0,0.0
Abbey Victor,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Abbott,3.0,0.0,0.0,0.0,3.0,5998,3.0,1.0
Abc,0.0,0.0,0.0,0.0,2.0,1994,2.0,1.0
Abernathy,2.0,0.0,1.0,0.0,1.0,3991,2.0,0.5
Abraham J G Ii/Erickson K,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Abrams,1.0,0.0,1.0,0.0,0.0,1999,1.0,0.0
Abrams/Nuding,1.0,0.0,0.0,2.0,0.0,1992,2.0,0.0
Ac Mfg & Dev'T Co,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Aces High,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Ackert,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Ackland Jeffrey Dean,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Acro,0.0,0.0,0.0,1.0,0.0,2019,1.0,0.0
Acro Sport,3.0,0.0,0.0,0.0,3.0,6021,3.0,1.0
Acroduster,1.0,1.0,1.0,0.0,0.0,4010,2.0,0.0
Adams,8.0,4.0,9.0,9.0,16.0,33921,38.0,0.42105263157894735
Adams Dennis Allen,1.0,0.0,1.0,1.0,0.0,2022,2.0,0.0
Adams Donald L,1.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Adams John R Jr,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Adams William C,1.0,0.0,0.0,0.0,1.0,1985,1.0,1.0
Adkins,2.0,0.0,0.0,1.0,1.0,4013,2.0,0.5
Adler,1.0,1.0,0.0,0.0,0.0,2002,1.0,0.0
Adolfson,1.0,1.0,1.0,0.0,0.0,1993,2.0,0.0
Adolphson,1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Adrian Davis,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Adrian George W,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Advance Aviation,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Advanced Acft,1.0,0.0,2.0,0.0,0.0,1994,2.0,0.0
Advanced Aviation,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Advanced Technology,2.0,0.0,1.0,1.0,0.0,3981,2.0,0.0
Adventura,1.0,0.0,0.0,1.0,1.0,2004,2.0,0.5
Advertising Mgmt & Consulting,1.0,2.0,0.0,3.0,0.0,2010,5.0,0.0
"Aegerter, Simon",1.0,0.0,0.0,0.0,3.0,1998,3.0,1.0
Aerial Productions Intl. Inc.,1.0,1.0,0.0,0.0,0.0,2006,1.0,0.0
Aermacchi,2.0,0.0,1.0,1.0,2.0,4026,4.0,0.5
Aero Adventure,2.0,1.0,0.0,1.0,0.0,4028,2.0,0.0
Aero At Sp Zoo,1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Aero Bristell,1.0,0.0,2.0,0.0,0.0,2020,2.0,0.0
Aero Commander,583.0,244.0,88.0,92.0,392.0,848453,816.0,0.4803921568627451
Aero Comp Inc,1.0,0.0,1.0,1.0,0.0,2000,2.0,0.0
Aero Design Eleven,1.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Aero Designs,1.0,0.0,0.0,0.0,2.0,2018,2.0,1.0
Aero Eli Servizi,0.0,1.0,0.0,0.0,0.0,2018,1.0,0.0
"Aero Falcon Intl., Inc.",1.0,0.0,0.0,1.0,1.0,1993,2.0,0.5
Aero Mercantil S.A.,1.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
Aero Mirage,1.0,1.0,1.0,0.0,0.0,1987,2.0,0.0
Aero Partners One Llc,1.0,1.0,0.0,0.0,0.0,2002,1.0,0.0
Aero Smart Solutions Inc,1.0,0.0,1.0,0.0,1.0,2016,2.0,0.5
Aero Sp Z O O,4.0,1.0,1.0,0.0,3.0,8047,5.0,0.6
Aero Sp Z O O (Gobosh),1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
"Aero Tek, Inc.",0.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Aero Vodochody,17.0,18.0,0.0,6.0,7.0,36191,31.0,0.22580645161290322
Aero Vodochody Aero Works,1.0,1.0,0.0,0.0,0.0,2003,1.0,0.0
Aero Vodochody Aero. Works,10.0,11.0,0.0,2.0,4.0,20018,17.0,0.23529411764705882
Aero Works,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Aero-Ace,1.0,0.0,1.0,0.0,0.0,2017,1.0,0.0
Aerodynamics .,1.0,0.0,0.0,0.0,1.0,1987,1.0,1.0
Aerodyne,1.0,2.0,0.0,0.0,0.0,1990,2.0,0.0
Aerofab,1.0,1.0,0.0,1.0,0.0,2008,2.0,0.0
Aerofab Inc,2.0,5.0,1.0,0.0,0.0,4033,6.0,0.0
Aerofab Inc.,13.0,1.0,4.0,4.0,13.0,25948,22.0,0.5909090909090909
"Aerofab, Inc.",1.0,1.0,0.0,0.0,0.0,2003,1.0,0.0
Aerolite,1.0,0.0,1.0,0.0,0.0,2010,1.0,0.0
Aeromot,4.0,0.0,1.0,1.0,4.0,7994,6.0,0.6666666666666666
Aeronca,624.0,117.0,155.0,162.0,552.0,1255006,986.0,0.5598377281947262
Aeronca Aircraft Corporation,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Aeronca Champ,1.0,0.0,0.0,0.0,2.0,1982,2.0,1.0
Aeronca Champion,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
Aeronca-Bubeck Irving,1.0,0.0,0.0,1.0,1.0,2000,2.0,0.5
Aeronca/Bubeck,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Aeroprakt,3.0,2.0,0.0,0.0,3.0,8056,5.0,0.6
Aeroprakt Manufacturing Sp Zoo,1.0,0.0,1.0,0.0,0.0,2022,1.0,0.0
Aeropro Cz,12.0,2.0,3.0,0.0,14.0,24178,19.0,0.7368421052631579
Aeropro Cz S R O,3.0,1.0,0.0,0.0,3.0,6060,4.0,0.75
Aeros,3.0,1.0,0.0,1.0,2.0,6042,4.0,0.5
Aeros Ltd,4.0,0.0,0.0,3.0,3.0,8053,6.0,0.5
Aeros Ltd/Skyranger Aircraft,1.0,0.0,0.0,2.0,0.0,2012,2.0,0.0
Aerospace,2.0,0.0,0.0,0.0,19.0,1991,19.0,1.0
Aerospace Tech. Of Australia,2.0,11.0,4.0,0.0,2.0,3987,17.0,0.11764705882352941
Aerospatiale,456.0,339.0,146.0,211.0,1987.0,756271,2683.0,0.74058889303019
Aerospatiale Alenia,2.0,0.0,1.0,1.0,0.0,2009,2.0,0.0
Aerospatiale/Socata,1.0,4.0,0.0,0.0,0.0,1990,4.0,0.0
Aerospool,0.0,5.0,0.0,0.0,0.0,4036,5.0,0.0
Aerosport,6.0,0.0,1.0,2.0,3.0,11937,6.0,0.5
Aerosport Ltd,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Aerosports Connection,1.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Aerostar,17.0,14.0,50.0,28.0,157.0,115816,249.0,0.6305220883534136
Aerostar Acft Corp Of Texas,3.0,0.0,1.0,6.0,0.0,6042,7.0,0.0
Aerostar Aircraft Corporation,4.0,1.0,0.0,0.0,1.0,4023,2.0,0.5
Aerostar International,0.0,0.0,2.0,2.0,11.0,4005,15.0,0.7333333333333333
Aerostar International Inc,0.0,0.0,3.0,0.0,1.0,2001,4.0,0.25
Aerostar International Inc.,0.0,0.0,1.0,0.0,12.0,2007,13.0,0.9230769230769231
"Aerostar International, Inc.",0.0,0.0,1.0,0.0,2.0,2006,3.0,0.6666666666666666
Aerostar S A,3.0,5.0,0.0,0.0,0.0,6037,5.0,0.0
"Aerostar, S.A",4.0,5.0,0.0,3.0,0.0,6006,8.0,0.0
Aerostar-Raven,0.0,0.0,1.0,0.0,2.0,1997,3.0,0.6666666666666666
Aerotechnik,4.0,1.0,0.0,3.0,2.0,8020,6.0,0.3333333333333333
Aerotek,44.0,21.0,7.0,9.0,35.0,89846,72.0,0.4861111111111111
Aerotek Inc,1.0,0.0,0.0,0.0,3.0,2013,3.0,1.0
Aerotek-Pitts,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
Aerotrek,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Aerotrike,6.0,1.0,3.0,2.0,4.0,12060,10.0,0.4
Aerovodochody,4.0,3.0,2.0,0.0,1.0,8063,6.0,0.16666666666666666
Aficionado,0.0,0.0,0.0,0.0,0.0,2020,0.0,
Ag-Cat Corporation,2.0,0.0,0.0,0.0,2.0,4018,2.0,1.0
Ageton,1.0,0.0,1.0,0.0,0.0,2006,1.0,0.0
Agin Jeffrey T,1.0,0.0,0.0,1.0,0.0,2006,1.0,0.0
Agusta,91.0,88.0,6.0,20.0,86.0,130412,200.0,0.43
Agusta Aerospace Corp,3.0,0.0,0.0,0.0,4.0,4029,4.0,1.0
Agusta Bell,1.0,9.0,2.0,1.0,0.0,10072,12.0,0.0
Agusta Spa,14.0,7.0,0.0,7.0,7.0,16098,21.0,0.3333333333333333
Agusta-Bell,0.0,0.0,3.0,0.0,0.0,2006,3.0,0.0
Agusta/Westland,0.0,2.0,0.0,0.0,0.0,2008,2.0,0.0
Agustadwestland,2.0,0.0,0.0,0.0,0.0,2010,0.0,
Agustawestland,0.0,0.0,0.0,0.0,5.0,10084,5.0,1.0
Agustawestland Philadelphia,2.0,0.0,0.0,0.0,9.0,2016,9.0,1.0
Agustawestland Philadelphia Co,1.0,0.0,0.0,0.0,3.0,2021,3.0,1.0
Agustawestland Spa,2.0,4.0,0.0,1.0,3.0,4028,8.0,0.375
Ahrens Gerd H,1.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Ainsworth,1.0,2.0,0.0,0.0,0.0,2005,2.0,0.0
Air,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Air & Space,13.0,1.0,1.0,5.0,13.0,25871,20.0,0.65
Air & Space.,1.0,1.0,0.0,0.0,0.0,2000,1.0,0.0
Air Borne Windsports Pty. Ltd.,1.0,1.0,0.0,0.0,0.0,2004,1.0,0.0
Air Command,19.0,14.0,2.0,1.0,3.0,37858,20.0,0.15
"Air Command International, Inc",1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Air Creation,18.0,8.0,7.0,5.0,5.0,36196,25.0,0.2
Air Creation Usa Llc,2.0,0.0,2.0,1.0,0.0,4037,3.0,0.0
Air Creation/Sides Rick A,1.0,0.0,1.0,0.0,0.0,2020,1.0,0.0
Air Creations,1.0,2.0,0.0,0.0,0.0,2006,2.0,0.0
Air Gulfstream Airlines Inc,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Air Tractor,642.0,116.0,75.0,110.0,399.0,1368818,700.0,0.57
Air Tractor Inc,205.0,40.0,35.0,20.0,130.0,441233,225.0,0.5777777777777777
Air Tractor Inc.,6.0,1.0,1.0,1.0,4.0,12062,7.0,0.5714285714285714
"Air Tractor, Inc.",1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Air Trans. Inc,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
Air Trikes,1.0,2.0,0.0,0.0,0.0,2006,2.0,0.0
Airborne,16.0,6.0,4.0,4.0,6.0,32204,20.0,0.3
Airborne (Australia),1.0,0.0,0.0,1.0,0.0,2013,1.0,0.0
Airborne Australia,1.0,0.0,0.0,0.0,1.0,2021,1.0,1.0
Airborne Extreme Llc,1.0,0.0,0.0,0.0,3.0,2016,3.0,1.0
Airborne Windsport,2.0,4.0,0.0,0.0,0.0,4021,4.0,0.0
Airborne Windsports,3.0,4.0,0.0,0.0,0.0,6063,4.0,0.0
Airborne Windsports Ltd,1.0,0.0,1.0,1.0,0.0,2007,2.0,0.0
Airborne Windsports Pty Ltd,14.0,8.0,4.0,4.0,4.0,28209,20.0,0.2
Airbus,358.0,1325.0,192.0,106.0,20478.0,580556,22101.0,0.9265644088502782
Airbus Helicopter,0.0,4.0,0.0,0.0,0.0,2014,4.0,0.0
Airbus Helicopters,11.0,13.0,4.0,10.0,13.0,26226,40.0,0.325
Airbus Helicopters (Eurocopte,1.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Airbus Helicopters Deutschland,2.0,0.0,5.0,0.0,0.0,2017,5.0,0.0
Airbus Helicopters Inc,3.0,4.0,0.0,3.0,2.0,6055,9.0,0.2222222222222222
Airbus Industrie,234.0,1087.0,131.0,388.0,19274.0,308256,20880.0,0.9230842911877395
Airbus Industries,2.0,0.0,0.0,0.0,109.0,2005,109.0,1.0
Airbus/Eurocopter,1.0,0.0,0.0,0.0,3.0,2014,3.0,1.0
Aircoupe,6.0,0.0,0.0,5.0,6.0,11943,11.0,0.5454545454545454
Aircraft Mfg & Design Llc,2.0,1.0,0.0,0.0,2.0,4027,3.0,0.6666666666666666
Aircraft Mfg & Dev. Co.,1.0,0.0,0.0,0.0,2.0,2008,2.0,1.0
Aircraft Mfg & Dev. Co. (Amd),11.0,2.0,4.0,1.0,12.0,22055,19.0,0.631578947368421
Aircraft Mfg & Development Co,4.0,2.0,1.0,1.0,2.0,8056,6.0,0.3333333333333333
Aircraft Mfg & Development Co.,1.0,0.0,1.0,0.0,1.0,2004,2.0,0.5
Aircraft Mfg & Dvlpmt Co,2.0,3.0,0.0,0.0,0.0,4032,3.0,0.0
Aircraft Parts & Dev. Corp,2.0,0.0,0.0,0.0,2.0,3988,2.0,1.0
Airframes Unlimited,4.0,0.0,1.0,3.0,2.0,8040,6.0,0.3333333333333333
Airgyro,1.0,1.0,0.0,0.0,0.0,2022,1.0,0.0
Airgyro Aviation Llc,1.0,0.0,1.0,0.0,0.0,2018,1.0,0.0
Airindus,1.0,0.0,0.0,0.0,2.0,2008,2.0,1.0
Airmass,6.0,5.0,1.0,0.0,0.0,11898,6.0,0.0
Airmax Construcoes Aeronautica,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
"Airnew, Inc.",1.0,0.0,0.0,1.0,0.0,1991,1.0,0.0
Airparts Nz Ltd,0.0,1.0,0.0,0.0,0.0,2017,1.0,0.0
Airplane Factory,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Airplane Factory (Pty) Ltd,2.0,0.0,0.0,0.0,3.0,4038,3.0,1.0
Airplane Factory (Pty) Ltd The,1.0,0.0,1.0,1.0,0.0,2014,2.0,0.0
Airship Industries,6.0,0.0,0.0,0.0,11.0,5967,11.0,1.0
Airtime,1.0,1.0,0.0,0.0,0.0,2018,1.0,0.0
Airtime Aircraft Inc,2.0,0.0,2.0,0.0,2.0,4033,4.0,0.5
Airvan,0.0,9.0,0.0,0.0,0.0,2019,9.0,0.0
Akers Douglas,2.0,1.0,0.0,0.0,0.0,2004,1.0,0.0
Akins,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Akro Tech Aviation Inc. Giles,1.0,1.0,0.0,0.0,0.0,2005,1.0,0.0
Al White,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Alan Wilson,1.0,0.0,0.0,0.0,2.0,2004,2.0,1.0
Alaskan Air Adventures Llc,1.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
Albrecht,2.0,1.0,1.0,0.0,0.0,3990,2.0,0.0
Albright Stan,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Alderfer,1.0,0.0,0.0,1.0,0.0,1983,1.0,0.0
Aleson,1.0,0.0,0.0,0.0,1.0,1983,1.0,1.0
Alex Michael Bantum/Tercel Usa,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Alexander,5.0,4.0,0.0,0.0,3.0,10010,7.0,0.42857142857142855
Alexander Duane A,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Alexander Schleicher,0.0,0.0,0.0,0.0,1.0,2003,1.0,1.0
Alexander Thomas P,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Alexander Vagner,1.0,0.0,1.0,0.0,0.0,2021,1.0,0.0
Alexander Volksplane,1.0,0.0,0.0,0.0,1.0,1987,1.0,1.0
Alfred,1.0,0.0,0.0,1.0,0.0,2006,1.0,0.0
Alfred F. Dibernardino,1.0,0.0,0.0,0.0,2.0,1993,2.0,1.0
Alfred Stevens,1.0,0.0,0.0,0.0,1.0,1990,1.0,1.0
Algimantas Jonusas,1.0,0.0,0.0,2.0,0.0,2016,2.0,0.0
Aliev Bulent,1.0,0.0,0.0,0.0,3.0,2011,3.0,1.0
Alkire,1.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
Allan G Pixley,1.0,0.0,0.0,1.0,0.0,2022,1.0,0.0
Allan R. Goldman,1.0,0.0,0.0,0.0,1.0,1991,1.0,1.0
Allardyce Michael,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Allegro,2.0,2.0,0.0,0.0,2.0,4010,4.0,0.5
Allen,6.0,5.0,0.0,1.0,3.0,12013,9.0,0.3333333333333333
Allen D. Potts,1.0,0.0,0.0,1.0,1.0,1994,2.0,0.5
Allen Jan A,1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Allen Raymond H,1.0,0.0,0.0,0.0,2.0,2010,2.0,1.0
Allen Robert,1.0,0.0,0.0,0.0,2.0,2016,2.0,1.0
Allen-Charles,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Allenberg,1.0,1.0,1.0,0.0,0.0,2003,2.0,0.0
Allensworth,1.0,1.0,0.0,0.0,0.0,2005,1.0,0.0
Alleva,1.0,2.0,0.0,0.0,0.0,1984,2.0,0.0
Alliant,1.0,0.0,0.0,1.0,1.0,2009,2.0,0.5
Alliant Aviation,1.0,1.0,0.0,0.0,0.0,2019,1.0,0.0
Allied Ag Cat Productions,1.0,0.0,0.0,1.0,0.0,2006,1.0,0.0
"Allied Ag Cat Productions, Inc",3.0,1.0,0.0,0.0,2.0,6012,3.0,0.6666666666666666
Allison,1.0,0.0,1.0,0.0,0.0,2003,1.0,0.0
Alon,40.0,10.0,8.0,14.0,25.0,81973,57.0,0.43859649122807015
Alon Aircoupe,1.0,2.0,0.0,0.0,0.0,2010,2.0,0.0
Alonso,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Alpi Aviation,0.0,2.0,0.0,0.0,0.0,2014,2.0,0.0
Alson G. Siler,1.0,0.0,1.0,0.0,0.0,1999,1.0,0.0
Althouse,1.0,2.0,0.0,0.0,0.0,2007,2.0,0.0
Alvarez Marvin R,2.0,0.0,1.0,0.0,3.0,4025,4.0,0.75
Alvin D. Campbell,1.0,2.0,0.0,0.0,0.0,1992,2.0,0.0
Alvin R. Kemmet,1.0,0.0,1.0,1.0,0.0,2000,2.0,0.0
Amateur Built,6.0,0.0,3.0,3.0,1.0,11929,7.0,0.14285714285714285
Amateur Built Aircraft,3.0,3.0,0.0,0.0,0.0,6041,3.0,0.0
Amateur Construction,4.0,7.0,0.0,0.0,2.0,12097,9.0,0.2222222222222222
Amato,1.0,0.0,0.0,0.0,1.0,1993,1.0,1.0
Amature Built,0.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Amd,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Amen,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Amer. Aerolight,1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
American,72.0,16.0,24.0,35.0,43.0,143767,118.0,0.3644067796610169
American Aerolights,10.0,8.0,2.0,0.0,2.0,19837,12.0,0.16666666666666666
American Air Racing,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
American Air Racing Ltd,1.0,1.0,0.0,0.0,0.0,2018,1.0,0.0
American Aircraft,1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
American Autogyro,2.0,0.0,3.0,0.0,1.0,4026,4.0,0.25
American Aviation,24.0,15.0,8.0,7.0,12.0,54356,42.0,0.2857142857142857
American Aviation Corp. (Aac),22.0,8.0,4.0,8.0,13.0,43886,33.0,0.3939393939393939
American Blimp,0.0,1.0,0.0,0.0,3.0,2011,4.0,0.75
American Blimp Corp.,8.0,0.0,0.0,2.0,15.0,10005,17.0,0.8823529411764706
American Blimp Corporation,2.0,0.0,0.0,0.0,2.0,2004,2.0,1.0
American Champion,10.0,7.0,2.0,3.0,11.0,30133,23.0,0.4782608695652174
American Champion (Acac),32.0,7.0,1.0,1.0,41.0,64107,50.0,0.82
American Champion Aircraft,55.0,13.0,11.0,7.0,53.0,108785,84.0,0.6309523809523809
American Champion Aircraft Cor,1.0,2.0,0.0,0.0,0.0,2010,2.0,0.0
American Eagle,2.0,3.0,0.0,0.0,0.0,3975,3.0,0.0
American Eurocopter,7.0,3.0,3.0,7.0,6.0,16049,19.0,0.3157894736842105
American Eurocopter Corp,3.0,6.0,4.0,1.0,4.0,12087,15.0,0.26666666666666666
American Eurocopter Llc,4.0,3.0,3.0,1.0,5.0,8050,12.0,0.4166666666666667
American General Acft Corp,3.0,0.0,3.0,1.0,2.0,6038,6.0,0.3333333333333333
American General Aircraft,16.0,7.0,4.0,2.0,14.0,31975,27.0,0.5185185185185185
American Legand Aircraft,1.0,0.0,0.0,0.0,1.0,2020,1.0,1.0
American Legend,10.0,1.0,1.0,0.0,12.0,18117,14.0,0.8571428571428571
American Legend Aircraft Co,17.0,0.0,1.0,2.0,21.0,34274,24.0,0.875
American Legend Aircraft Co.,2.0,0.0,0.0,0.0,3.0,4015,3.0,1.0
American Legend Aircraft Compa,0.0,0.0,0.0,0.0,0.0,2021,0.0,
American Longevity Corp,1.0,0.0,2.0,0.0,0.0,2009,2.0,0.0
American Yankee,1.0,6.0,0.0,0.0,0.0,1982,6.0,0.0
Ames Angier M,1.0,2.0,0.0,0.0,0.0,2018,2.0,0.0
Amirkhanian Shahram Charl,1.0,0.0,1.0,0.0,0.0,2013,1.0,0.0
Ammeter,1.0,0.0,0.0,2.0,0.0,2004,2.0,0.0
Amorde,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Ams Flight,1.0,1.0,0.0,0.0,0.0,2004,1.0,0.0
Amstutz Curtis J,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Anatra Bart T,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Andelin (Pitts),1.0,0.0,0.0,0.0,1.0,2003,1.0,1.0
Anderas,1.0,0.0,1.0,0.0,0.0,2013,1.0,0.0
Anderson,5.0,2.0,0.0,7.0,0.0,10019,9.0,0.0
Anderson Aircraft Corp.,11.0,6.0,1.0,3.0,8.0,21906,18.0,0.4444444444444444
Anderson Andreas,1.0,0.0,1.0,0.0,0.0,2013,1.0,0.0
Anderson Darrell L,1.0,0.0,1.0,0.0,0.0,2018,1.0,0.0
Anderson John H,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Anderson Pitts,1.0,0.0,0.0,0.0,1.0,1988,1.0,1.0
Anderson R E/Abromavich L J,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Anderson Rotorway,1.0,0.0,0.0,0.0,2.0,2002,2.0,1.0
"Anderson, Greenwood",1.0,0.0,0.0,0.0,1.0,1983,1.0,1.0
Anderson-Tucker,1.0,0.0,0.0,0.0,1.0,1988,1.0,1.0
Andre,1.0,0.0,0.0,0.0,1.0,2001,1.0,1.0
Andre Kostrzewa,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Andrew D. Moore,0.0,0.0,1.0,0.0,0.0,1986,1.0,0.0
Andrew Harold,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Andrew Mckimmon,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Andrews,2.0,1.0,1.0,0.0,1.0,4017,3.0,0.3333333333333333
Andris,1.0,0.0,0.0,1.0,0.0,1995,1.0,0.0
Ang,0.0,2.0,0.0,0.0,0.0,2020,2.0,0.0
Angel,1.0,0.0,0.0,0.0,1.0,1994,1.0,1.0
Angel Aircraft Corporation,0.0,2.0,0.0,0.0,0.0,2019,2.0,0.0
Angel Elbert S Jr,1.0,0.0,0.0,0.0,1.0,1993,1.0,1.0
Anglin,1.0,0.0,1.0,0.0,0.0,2008,1.0,0.0
Angus Watt,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Ankenbruck,2.0,0.0,0.0,2.0,1.0,3997,3.0,0.3333333333333333
"Ankerman, Donald L.",1.0,2.0,0.0,0.0,0.0,1992,2.0,0.0
Ankerstar Bradley D,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
"Ankestar, Bradley D.",1.0,0.0,1.0,0.0,0.0,2013,1.0,0.0
Annis,1.0,0.0,0.0,1.0,0.0,2002,1.0,0.0
Antares,4.0,2.0,1.0,2.0,0.0,8048,5.0,0.0
Antares - Balaban,1.0,0.0,0.0,0.0,2.0,2008,2.0,1.0
Antares Us,1.0,0.0,0.0,1.0,0.0,2009,1.0,0.0
Antenor Velazco,1.0,2.0,0.0,0.0,0.0,2021,2.0,0.0
Anthony J. Bencivenga,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Anthony Mattioli,1.0,1.0,0.0,0.0,0.0,2020,1.0,0.0
Antonov,6.0,71.0,0.0,2.0,8.0,12095,81.0,0.09876543209876543
Antonovich Anton B,1.0,1.0,0.0,0.0,0.0,2008,1.0,0.0
Apco,1.0,2.0,0.0,0.0,0.0,2004,2.0,0.0
Apex Aircraft,1.0,1.0,0.0,0.0,0.0,2003,1.0,0.0
Apollo,1.0,0.0,0.0,1.0,2.0,4029,3.0,0.6666666666666666
Apollo Aircraft Inc,3.0,0.0,1.0,1.0,1.0,6039,3.0,0.3333333333333333
Apollo North America Inc,1.0,2.0,0.0,0.0,0.0,2007,2.0,0.0
Appel,2.0,0.0,0.0,0.0,3.0,4011,3.0,1.0
Appleby,1.0,1.0,0.0,0.0,0.0,2017,1.0,0.0
Applegate,1.0,1.0,0.0,0.0,0.0,2017,1.0,0.0
